date,Open,High,Low,Close,Volume
2020-10-28,74.1,74.9,72.67,73.14,16389464.0
2020-10-29,72.72,74.58,71.84,73.77,14208820.0
2020-10-30,74.51,75.02,72.83,74.64,15200685.0
2020-11-02,75.99,77.48,74.46,76.85,15011597.0
2020-11-03,79.62,81.34,79.29,80.01,17482590.0
2020-11-04,77.6,78.67,75.53,76.85,18886518.0
2020-11-05,77.66,81.7,77.6,80.95,17837373.0
2020-11-06,81.63,81.7,78.99,79.56,12552785.0
2020-11-09,89.76,95.5,86.95,93.5,47792406.0
2020-11-10,93.95,94.05,91.29,93.12,20539339.0
2020-11-11,93.49,93.56,90.56,91.38,14443409.0
2020-11-12,89.13,90.56,88.66,89.97,22066464.0
2020-11-13,91.3,91.46,90.17,90.68,11856870.0
2020-11-16,94.39,95.21,92.33,93.9,19858562.0
2020-11-17,91.99,93.04,91.18,92.71,14553245.0
2020-11-18,93.94,95.21,91.8,91.85,12571217.0
2020-11-19,90.78,92.42,90.16,92.16,10202538.0
2020-11-20,91.03,92.25,90.69,91.17,12720823.0
2020-11-23,92.65,94.77,92.17,94.47,13209211.0
2020-11-24,96.67,100.1,96.31,99.92,20121557.0
2020-11-25,97.97,98.98,97.07,98.63,11715627.0
2020-11-27,98.6,98.95,97.68,97.82,5983627.0
2020-11-30,96.6,97.32,94.37,94.48,14411847.0
2020-12-01,96.94,98.18,96.23,96.34,12678222.0
2020-12-02,96.3,98.91,95.87,98.64,10811255.0
2020-12-03,98.45,98.49,96.96,97.84,12904414.0
2020-12-04,99.08,99.89,98.29,98.94,13583654.0
2020-12-07,97.75,98.77,96.81,98.48,9724307.0
2020-12-08,97.64,98.93,97.36,98.6,9592124.0
2020-12-09,99.77,99.9,97.04,97.65,13073933.0
2020-12-10,96.59,97.38,96.16,96.87,13668420.0
2020-12-11,95.54,96.62,94.97,96.16,9981643.0
2020-12-14,97.93,98.02,94.71,94.9,12112352.0
2020-12-15,95.89,97.5,95.22,96.92,12591419.0
2020-12-16,96.9,97.68,96.46,97.27,11169364.0
2020-12-17,97.86,98.05,96.18,96.27,11618001.0
2020-12-18,95.74,96.48,94.87,95.68,28954764.0
2020-12-21,99.77,101.6,97.69,100.15,28323642.0
2020-12-22,99.99,100.12,98.21,98.27,11808882.0
2020-12-23,99.38,103.12,98.95,101.67,14973226.0
2020-12-24,101.69,102.15,100.17,101.12,4164948.0
2020-12-28,102.42,103.25,101.39,101.94,8072641.0
2020-12-29,102.8,102.88,101.49,101.61,8389199.0
2020-12-30,102.09,102.45,101.5,101.96,7397964.0
2020-12-31,101.69,103.93,101.42,103.67,8580214.0
2021-01-04,104.1,104.46,101.38,102.47,16813567.0
2021-01-05,102.49,103.8,101.27,103.15,13731206.0
2021-01-06,107.38,110.27,105.38,109.05,24909056.0
2021-01-07,113.19,115.69,112.42,113.37,21940387.0
2021-01-08,113.47,113.85,111.62,113.52,12035126.0
2021-01-11,112.08,115.7,111.61,115.55,15949048.0
2021-01-12,116.94,119.16,116.33,117.72,18033462.0
2021-01-13,116.09,118.29,115.6,117.85,14816761.0
2021-01-14,117.99,120.25,117.5,118.67,18565597.0
2021-01-15,114.93,119.15,114.51,116.14,27881016.0
2021-01-19,117.36,118.2,115.32,115.54,19843782.0
2021-01-20,115.32,115.67,112.94,113.47,16028845.0
2021-01-21,113.19,113.66,111.82,112.33,13415022.0
2021-01-22,110.19,111.9,109.7,111.29,12933227.0
2021-01-25,109.64,110.67,107.56,109.62,14212764.0
2021-01-26,110.25,110.67,108.84,109.08,11307819.0
2021-01-27,107.09,107.35,104.85,105.36,17603851.0
2021-01-28,107.4,109.67,106.49,107.61,13761758.0
2021-01-29,108.69,109.22,105.69,106.17,14808109.0
2021-02-01,106.9,107.57,105.97,107.12,11080662.0
2021-02-02,109.44,111.89,108.72,111.11,12253574.0
2021-02-03,111.15,113.26,111.01,112.64,10600777.0
2021-02-04,112.97,116.16,112.97,115.75,12419526.0
2021-02-05,116.89,116.99,114.88,115.48,10051265.0
2021-02-08,115.7,117.8,115.68,117.64,10136384.0
2021-02-09,116.93,117.48,116.04,117.08,8614807.0
2021-02-10,117.5,118.37,116.54,117.16,10323204.0
2021-02-11,117.16,118.05,115.72,116.77,9200955.0
2021-02-12,116.55,119.11,116.5,118.75,8324562.0
2021-02-16,121.05,122.82,119.9,122.15,12130618.0
2021-02-17,121.45,122.88,120.62,122.6,10834189.0
2021-02-18,121.5,123.29,120.9,123.09,10590274.0
2021-02-19,123.36,126.34,123.36,125.52,11969782.0
2021-02-22,124.37,127.69,124.29,126.91,11488415.0
2021-02-23,129.01,129.81,127.09,128.11,16234408.0
2021-02-24,127.61,131.26,127.61,130.76,15061433.0
2021-02-25,131.77,132.4,128.09,128.68,18127707.0
2021-02-26,127.8,128.37,124.01,124.67,19829182.0
2021-03-01,127.02,128.88,125.98,128.0,14845483.0
2021-03-02,127.58,129.28,127.34,127.51,14221724.0
2021-03-03,128.73,132.48,128.32,130.41,14324103.0
2021-03-04,130.11,131.88,126.12,128.06,20093905.0
2021-03-05,130.72,130.99,125.47,128.41,18465108.0
2021-03-08,129.97,132.96,128.25,130.41,17133270.0
2021-03-09,129.0,131.75,127.32,129.33,16238763.0
2021-03-10,129.41,133.66,129.01,132.63,14342237.0
2021-03-11,131.61,133.65,130.86,131.82,11771478.0
2021-03-12,134.36,135.13,132.57,133.65,12849532.0
2021-03-15,133.85,134.42,131.46,132.87,12103264.0
2021-03-16,131.59,132.1,129.69,131.01,12805565.0
2021-03-17,132.84,134.38,130.55,132.59,13952375.0
2021-03-18,135.1,139.19,134.61,135.15,21898467.0
2021-03-19,133.01,133.44,128.69,132.64,54418832.0
2021-03-22,130.3,131.47,128.11,128.47,19944845.0
2021-03-23,127.83,129.62,126.46,126.96,17076304.0
2021-03-24,127.5,130.68,127.36,128.12,13079793.0
2021-03-25,127.5,130.47,126.83,130.05,15608340.0
2021-03-26,131.8,132.95,130.05,132.59,16754402.0
2021-03-29,129.62,131.23,128.54,130.18,17570343.0
2021-03-30,131.96,133.37,131.38,131.98,13184306.0
